item,section_prompt,item_text,combined_text
cc_q15,"1) Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? 2) First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. 3) Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. 4) Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. 5) Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. 6) Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. 7) Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.",2. Which sentence best summarizes paragraph 2?,"1) Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? 2) First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. 3) Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. 4) Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. 5) Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. 6) Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. 7) Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.: 2. Which sentence best summarizes paragraph 2?
a. Scientists knew where the birds were flying
d. Scientists thought muscles carry blood
b. Scientists learned that a bird wing was like a human arm
c. Scientists worked to learn about birds’ bones and wings"
cc_q6,"1) A human is a primate. In primates, the heart sends oxygen in the blood all around the body. The body must have oxygen to function properly. The strong heart muscle contracts to pump blood all around the body. A healthy heart never rests.2) But what happens when a person’s heart gets weaker? People with weak hearts need help. Scientists have to study a medical mystery. Then they might be able to help people. 3) First, scientists need to diagnose the reasons that a human heart gets weak. They need to do tests. But sometimes it would be hard on a sick person to have tests done. So, scientists study animals that have body systems like humans. Scientists knew that the macaque monkey’s heart is similar to the human heart. So, they did tests with macaque monkeys. The scientists learned what happens when a monkey has a heart attack. After a heart attack, the monkey’s heart muscle has scar tissue where it was damaged. The scar tissue cannot contract like a strong heart muscle can. Then the monkey’s heart cannot pump enough blood to give the body the oxygen it needs. Without enough oxygen, the monkey’s body cannot function properly. 4) Second, scientists wanted to try out new solutions that would keep the heart working. Sometimes the new solutions might fail. So, scientists didn’t want to try the solutions with people right away. They tried a solution with macaque monkeys. 5) Scientists developed an idea. Then, they tested an idea. They injected human stem cells from the human heart into the monkey’s heart. After four weeks the human heart cells grew where the monkey’s scar tissue was. After three months, the monkey’s heart got stronger. 6) Now scientists are using what they found in this experiment to help humans who have had heart attacks.",5. What is the purpose of this passage?,"1) A human is a primate. In primates, the heart sends oxygen in the blood all around the body. The body must have oxygen to function properly. The strong heart muscle contracts to pump blood all around the body. A healthy heart never rests.2) But what happens when a person’s heart gets weaker? People with weak hearts need help. Scientists have to study a medical mystery. Then they might be able to help people. 3) First, scientists need to diagnose the reasons that a human heart gets weak. They need to do tests. But sometimes it would be hard on a sick person to have tests done. So, scientists study animals that have body systems like humans. Scientists knew that the macaque monkey’s heart is similar to the human heart. So, they did tests with macaque monkeys. The scientists learned what happens when a monkey has a heart attack. After a heart attack, the monkey’s heart muscle has scar tissue where it was damaged. The scar tissue cannot contract like a strong heart muscle can. Then the monkey’s heart cannot pump enough blood to give the body the oxygen it needs. Without enough oxygen, the monkey’s body cannot function properly. 4) Second, scientists wanted to try out new solutions that would keep the heart working. Sometimes the new solutions might fail. So, scientists didn’t want to try the solutions with people right away. They tried a solution with macaque monkeys. 5) Scientists developed an idea. Then, they tested an idea. They injected human stem cells from the human heart into the monkey’s heart. After four weeks the human heart cells grew where the monkey’s scar tissue was. After three months, the monkey’s heart got stronger. 6) Now scientists are using what they found in this experiment to help humans who have had heart attacks.: 5. What is the purpose of this passage?
b. To help people keep their bodies strong
c. To tell why it is hard to help sick monkeys
d. To show how scientists study a medical mystery
a. To describe what happens after a heart attack"
cc_q5,"1) A human is a primate. In primates, the heart sends oxygen in the blood all around the body. The body must have oxygen to function properly. The strong heart muscle contracts to pump blood all around the body. A healthy heart never rests.2) But what happens when a person’s heart gets weaker? People with weak hearts need help. Scientists have to study a medical mystery. Then they might be able to help people. 3) First, scientists need to diagnose the reasons that a human heart gets weak. They need to do tests. But sometimes it would be hard on a sick person to have tests done. So, scientists study animals that have body systems like humans. Scientists knew that the macaque monkey’s heart is similar to the human heart. So, they did tests with macaque monkeys. The scientists learned what happens when a monkey has a heart attack. After a heart attack, the monkey’s heart muscle has scar tissue where it was damaged. The scar tissue cannot contract like a strong heart muscle can. Then the monkey’s heart cannot pump enough blood to give the body the oxygen it needs. Without enough oxygen, the monkey’s body cannot function properly. 4) Second, scientists wanted to try out new solutions that would keep the heart working. Sometimes the new solutions might fail. So, scientists didn’t want to try the solutions with people right away. They tried a solution with macaque monkeys. 5) Scientists developed an idea. Then, they tested an idea. They injected human stem cells from the human heart into the monkey’s heart. After four weeks the human heart cells grew where the monkey’s scar tissue was. After three months, the monkey’s heart got stronger. 6) Now scientists are using what they found in this experiment to help humans who have had heart attacks.",4. Why do scientists study monkey hearts?,"1) A human is a primate. In primates, the heart sends oxygen in the blood all around the body. The body must have oxygen to function properly. The strong heart muscle contracts to pump blood all around the body. A healthy heart never rests.2) But what happens when a person’s heart gets weaker? People with weak hearts need help. Scientists have to study a medical mystery. Then they might be able to help people. 3) First, scientists need to diagnose the reasons that a human heart gets weak. They need to do tests. But sometimes it would be hard on a sick person to have tests done. So, scientists study animals that have body systems like humans. Scientists knew that the macaque monkey’s heart is similar to the human heart. So, they did tests with macaque monkeys. The scientists learned what happens when a monkey has a heart attack. After a heart attack, the monkey’s heart muscle has scar tissue where it was damaged. The scar tissue cannot contract like a strong heart muscle can. Then the monkey’s heart cannot pump enough blood to give the body the oxygen it needs. Without enough oxygen, the monkey’s body cannot function properly. 4) Second, scientists wanted to try out new solutions that would keep the heart working. Sometimes the new solutions might fail. So, scientists didn’t want to try the solutions with people right away. They tried a solution with macaque monkeys. 5) Scientists developed an idea. Then, they tested an idea. They injected human stem cells from the human heart into the monkey’s heart. After four weeks the human heart cells grew where the monkey’s scar tissue was. After three months, the monkey’s heart got stronger. 6) Now scientists are using what they found in this experiment to help humans who have had heart attacks.: 4. Why do scientists study monkey hearts?
d. Because they want to diagnose monkey problems
b. Because they want to cover up scars
a. Because they want to help humans who have heart attacks
c. Because they want to provide a home for monkeys"
cc_q20,"1) Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? 2) First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. 3) Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. 4) Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. 5) Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. 6) Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. 7) Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.",7. The author of this article mainly wants you to learn that,"1) Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? 2) First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. 3) Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. 4) Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. 5) Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. 6) Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. 7) Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.: 7. The author of this article mainly wants you to learn that
a. All animals including humans change over time
d. Scientists study living things to see how they change over time
b. Birds migrate to a warmer climate every winter
c. Birds’ wings are getting smaller and their bodies are getting larger"
cc_q30,"1) In many ways, skyscrapers are like the human body. They have bones that keep it tall and strong and skin to protect the body. They have a command center that is like a brain. 2)How do engineers design and build strong and smart skyscrapers? It is very challenging to build a skyscraper because there are many parts that have to work together. If one part is broken, the skyscraper will not work properly. 3)First, engineers need a strong and tall frame that supports the floors and walls. This frame is like the bones of a skyscraper. The bones of a skyscraper are made of concrete, steel and other materials. The columns are like the backbone of a human body. The columns go up. The steel columns hold up each floor. There are also steel beams that go across each floor. The steel columns and beams must be strong to resist the force of gravity. The steel columns and beams must work together to form a strong backbone. 4)Second, engineers need to design a command center. The command center is a computer that sends signals through wires in a skyscraper. For example, it sends signals to help bring fresh air into rooms, just like your lungs. The command center also controls the heating and air conditioning. It helps the building cool down when it’s too hot and warm up when it’s too cold. 5)A skyscraper has many different parts that work together. The bones make the building tall and strong. The skin protects the inside of the building. The skin of a skyscraper can be made of metal, stone, or glass. The brain controls the building temperature. 6)The anatomy of a skyscraper is like a human body. All the parts have to work together. That's how a city skyscraper works properly.","5. According to paragraph 4, a skyscraper’s command center is like the human body’s","1) In many ways, skyscrapers are like the human body. They have bones that keep it tall and strong and skin to protect the body. They have a command center that is like a brain. 2)How do engineers design and build strong and smart skyscrapers? It is very challenging to build a skyscraper because there are many parts that have to work together. If one part is broken, the skyscraper will not work properly. 3)First, engineers need a strong and tall frame that supports the floors and walls. This frame is like the bones of a skyscraper. The bones of a skyscraper are made of concrete, steel and other materials. The columns are like the backbone of a human body. The columns go up. The steel columns hold up each floor. There are also steel beams that go across each floor. The steel columns and beams must be strong to resist the force of gravity. The steel columns and beams must work together to form a strong backbone. 4)Second, engineers need to design a command center. The command center is a computer that sends signals through wires in a skyscraper. For example, it sends signals to help bring fresh air into rooms, just like your lungs. The command center also controls the heating and air conditioning. It helps the building cool down when it’s too hot and warm up when it’s too cold. 5)A skyscraper has many different parts that work together. The bones make the building tall and strong. The skin protects the inside of the building. The skin of a skyscraper can be made of metal, stone, or glass. The brain controls the building temperature. 6)The anatomy of a skyscraper is like a human body. All the parts have to work together. That's how a city skyscraper works properly.: 5. According to paragraph 4, a skyscraper’s command center is like the human body’s
b. nervous system
c. muscular system
a. skeletal system
d. digestive system"
cc_q23,"1) Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? 2) First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. 3) Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. 4) Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. 5) Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. 6) Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. 7) Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.","10. In order to study the mystery of change in birds’ body size, what did scientists do first?","1) Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? 2) First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. 3) Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. 4) Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. 5) Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. 6) Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. 7) Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.: 10. In order to study the mystery of change in birds’ body size, what did scientists do first?
b. Scientists flew to North America
d. Scientists studied the environment that birds live in
a. Scientists focused on the birds’ skeletal system
c. Scientists examined the human muscular system"
cc_q33,"1) In many ways, skyscrapers are like the human body. They have bones that keep it tall and strong and skin to protect the body. They have a command center that is like a brain. 2)How do engineers design and build strong and smart skyscrapers? It is very challenging to build a skyscraper because there are many parts that have to work together. If one part is broken, the skyscraper will not work properly. 3)First, engineers need a strong and tall frame that supports the floors and walls. This frame is like the bones of a skyscraper. The bones of a skyscraper are made of concrete, steel and other materials. The columns are like the backbone of a human body. The columns go up. The steel columns hold up each floor. There are also steel beams that go across each floor. The steel columns and beams must be strong to resist the force of gravity. The steel columns and beams must work together to form a strong backbone. 4)Second, engineers need to design a command center. The command center is a computer that sends signals through wires in a skyscraper. For example, it sends signals to help bring fresh air into rooms, just like your lungs. The command center also controls the heating and air conditioning. It helps the building cool down when it’s too hot and warm up when it’s too cold. 5)A skyscraper has many different parts that work together. The bones make the building tall and strong. The skin protects the inside of the building. The skin of a skyscraper can be made of metal, stone, or glass. The brain controls the building temperature. 6)The anatomy of a skyscraper is like a human body. All the parts have to work together. That's how a city skyscraper works properly.",8. A skyscraper has a command center. Another word for command is,"1) In many ways, skyscrapers are like the human body. They have bones that keep it tall and strong and skin to protect the body. They have a command center that is like a brain. 2)How do engineers design and build strong and smart skyscrapers? It is very challenging to build a skyscraper because there are many parts that have to work together. If one part is broken, the skyscraper will not work properly. 3)First, engineers need a strong and tall frame that supports the floors and walls. This frame is like the bones of a skyscraper. The bones of a skyscraper are made of concrete, steel and other materials. The columns are like the backbone of a human body. The columns go up. The steel columns hold up each floor. There are also steel beams that go across each floor. The steel columns and beams must be strong to resist the force of gravity. The steel columns and beams must work together to form a strong backbone. 4)Second, engineers need to design a command center. The command center is a computer that sends signals through wires in a skyscraper. For example, it sends signals to help bring fresh air into rooms, just like your lungs. The command center also controls the heating and air conditioning. It helps the building cool down when it’s too hot and warm up when it’s too cold. 5)A skyscraper has many different parts that work together. The bones make the building tall and strong. The skin protects the inside of the building. The skin of a skyscraper can be made of metal, stone, or glass. The brain controls the building temperature. 6)The anatomy of a skyscraper is like a human body. All the parts have to work together. That's how a city skyscraper works properly.: 8. A skyscraper has a command center. Another word for command is
a. control
b. check
d. work
c. help"
cc_q10,"1) A human is a primate. In primates, the heart sends oxygen in the blood all around the body. The body must have oxygen to function properly. The strong heart muscle contracts to pump blood all around the body. A healthy heart never rests.2) But what happens when a person’s heart gets weaker? People with weak hearts need help. Scientists have to study a medical mystery. Then they might be able to help people. 3) First, scientists need to diagnose the reasons that a human heart gets weak. They need to do tests. But sometimes it would be hard on a sick person to have tests done. So, scientists study animals that have body systems like humans. Scientists knew that the macaque monkey’s heart is similar to the human heart. So, they did tests with macaque monkeys. The scientists learned what happens when a monkey has a heart attack. After a heart attack, the monkey’s heart muscle has scar tissue where it was damaged. The scar tissue cannot contract like a strong heart muscle can. Then the monkey’s heart cannot pump enough blood to give the body the oxygen it needs. Without enough oxygen, the monkey’s body cannot function properly. 4) Second, scientists wanted to try out new solutions that would keep the heart working. Sometimes the new solutions might fail. So, scientists didn’t want to try the solutions with people right away. They tried a solution with macaque monkeys. 5) Scientists developed an idea. Then, they tested an idea. They injected human stem cells from the human heart into the monkey’s heart. After four weeks the human heart cells grew where the monkey’s scar tissue was. After three months, the monkey’s heart got stronger. 6) Now scientists are using what they found in this experiment to help humans who have had heart attacks.",9. How did scientists know that they successfully found a way to help humans from a macaque monkey’s heart?,"1) A human is a primate. In primates, the heart sends oxygen in the blood all around the body. The body must have oxygen to function properly. The strong heart muscle contracts to pump blood all around the body. A healthy heart never rests.2) But what happens when a person’s heart gets weaker? People with weak hearts need help. Scientists have to study a medical mystery. Then they might be able to help people. 3) First, scientists need to diagnose the reasons that a human heart gets weak. They need to do tests. But sometimes it would be hard on a sick person to have tests done. So, scientists study animals that have body systems like humans. Scientists knew that the macaque monkey’s heart is similar to the human heart. So, they did tests with macaque monkeys. The scientists learned what happens when a monkey has a heart attack. After a heart attack, the monkey’s heart muscle has scar tissue where it was damaged. The scar tissue cannot contract like a strong heart muscle can. Then the monkey’s heart cannot pump enough blood to give the body the oxygen it needs. Without enough oxygen, the monkey’s body cannot function properly. 4) Second, scientists wanted to try out new solutions that would keep the heart working. Sometimes the new solutions might fail. So, scientists didn’t want to try the solutions with people right away. They tried a solution with macaque monkeys. 5) Scientists developed an idea. Then, they tested an idea. They injected human stem cells from the human heart into the monkey’s heart. After four weeks the human heart cells grew where the monkey’s scar tissue was. After three months, the monkey’s heart got stronger. 6) Now scientists are using what they found in this experiment to help humans who have had heart attacks.: 9. How did scientists know that they successfully found a way to help humans from a macaque monkey’s heart?
c. The monkey’s heart with human stem cells became stronger
b. The monkey got a heart attack after three months
d. The monkey’s heart did not pump blood to give the body oxygen
a. The scar tissue on the monkey’s heart grew bigger"
cc_q17,"1) Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? 2) First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. 3) Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. 4) Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. 5) Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. 6) Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. 7) Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.",4. The author said that scientists are studying the mystery of the shrinking birds. What was one thing the scientists discovered?,"1) Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? 2) First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. 3) Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. 4) Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. 5) Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. 6) Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. 7) Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.: 4. The author said that scientists are studying the mystery of the shrinking birds. What was one thing the scientists discovered?
d. It is hard to measure birds when they are migrating
b. It’s easier to fly a long way with longer wings
c. The leg bone of some birds is getting larger
a. Birds use more energy now when they fly"
cc_q19,"1) Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? 2) First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. 3) Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. 4) Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. 5) Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. 6) Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. 7) Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.","6. In paragraph 3, what is another word for diagnose?","1) Some birds that are here today are smaller than they were many years ago. Why is this happening? It is a mystery. How do scientists study a mystery? 2) First, scientists try to understand the bird’s skeletal and muscular systems. Those systems help birds to fly. One thing scientists know is that birds’ bones are hollow inside. So, they don’t weigh much. Birds’ skeletons weigh less than their feathers. They have also learned that a bird wing works like a human arm. Birds contract their chest muscles to make their wings flap. 3) Second, scientists try to diagnose the reasons that the birds’ bodies might have changed over time. Some scientists thought that birds’ skeletal or muscular systems might have changed. So, they studied migratory birds in North America. Migratory birds fly long distances to warmer places for the winter. 4) Third, scientists measured the physical characteristics of the birds. They measured the size of the birds’ bones. They found some of the birds’ bones were shorter than they were 40 years ago. For example, the lower leg bone of many birds is smaller. 5) Fourth, scientists measured the migratory birds’ wings. They found the birds’ wings are longer than they used to be. 6) Many scientists asked, “Why are the birds’ bones smaller than they used be. But their wings are longer?” They thought about the long distance the birds fly in winter. They thought that the birds’ bodies changed to adapt to the long winter flight. They would need a lot of energy for the flight. A smaller body would have smaller muscles and less fat. But smaller bones and longer wings would make flying easier. 7) Over time, these characteristics of birds have become more common. The scientists came up with some very good ideas about why these skeletal changes might be occurring.: 6. In paragraph 3, what is another word for diagnose?
d. distance
c. identify
a. migrate
b. change"
