item,section_prompt,item_text,combined_text
S14_14,,Which nutrient makes your bones strong?,"Which nutrient makes your bones strong?
Iron
Protein
Vitamin C
Calcium"
S14_7,,Which condiment is unhealthy if you eat it too much?,"Which condiment is unhealthy if you eat it too much?
Salt
Ginger
Cumin
Garlic"
S14_12,,Which food has lots of vitamin C?,"Which food has lots of vitamin C?
Rice
Lemons
Carrots
Chicken meat"
S14_9,,Which of these is not a name of a nutrient?,"Which of these is not a name of a nutrient?
Protein
Carbohydrates
Fat
Tea"
S14_4,,Which drink makes your teeth strong?,"Which drink makes your teeth strong?
Coca Cola
Water
Fanta
Milk"
S14_10,,Which food has lots of vitamin A?,"Which food has lots of vitamin A?
Mung bean
Meat
Green leafy vegies
Rice"
S14_2,,Which food makes your bones strong?,"Which food makes your bones strong?
Milk
Cauliflower
Eggplant
Amaranthus"
S14_13,,Which vitamin is good for your eyes?,"Which vitamin is good for your eyes?
Vitamin A
Vitamin D
Vitamin B
Vitamin C"
S14_6,,Which food makes your muscles strong?,"Which food makes your muscles strong?
Milk
Tomatoes
Meat
Onions"
S14_11,,Eating too much of which food makes you fat?,"Eating too much of which food makes you fat?
Radish
Steamed rice
Cauliflower
Guava"
S14_8,,Which food is not part of a healthy diet?,"Which food is not part of a healthy diet?
Vegetables
Meat
Carbonated drinks
Fruit"
S14_15,,Which nutrient builds muscles?,"Which nutrient builds muscles?
Vitamin C
Calcium
Iron
Protein"
S14_5,,Which food is the most unhealthy if you eat it often?,"Which food is the most unhealthy if you eat it often?
Wai Wai noodles
Bread
Eggs
Rice"
S14_3,,Which food is very high in salt?,"Which food is very high in salt?
Bread
Roti
Wai Wai noodles
Sell roti"
S14_1,,Which food is good for your eyes?,"Which food is good for your eyes?
Carrots
Beans
Cucumbers
Chicken meat"
