item,mean_strength,rank,table,analysis,max_r_hat,min_ess_bulk
1,-4.980443494179596,18.0,gilbert_meta_2,provider_balanced,1.0,3987.0
2,4.145269824511675,3.0,gilbert_meta_2,provider_balanced,1.0,3987.0
3,0.3520223418720543,8.0,gilbert_meta_2,provider_balanced,1.0,3987.0
4,-0.23556630385573982,13.0,gilbert_meta_2,provider_balanced,1.0,3987.0
5,-0.25713153716339987,14.0,gilbert_meta_2,provider_balanced,1.0,3987.0
6,1.9070407422386133,5.0,gilbert_meta_2,provider_balanced,1.0,3987.0
7,-1.803544704536819,17.0,gilbert_meta_2,provider_balanced,1.0,3987.0
8,-5.557517436031158,20.0,gilbert_meta_2,provider_balanced,1.0,3987.0
9,3.4054361866284797,4.0,gilbert_meta_2,provider_balanced,1.0,3987.0
10,0.052550697999659404,10.0,gilbert_meta_2,provider_balanced,1.0,3987.0
11,0.4684278155946866,6.0,gilbert_meta_2,provider_balanced,1.0,3987.0
12,-0.7800088749956621,15.0,gilbert_meta_2,provider_balanced,1.0,3987.0
13,0.31722807941742387,9.0,gilbert_meta_2,provider_balanced,1.0,3987.0
14,4.449372694718367,2.0,gilbert_meta_2,provider_balanced,1.0,3987.0
15,-5.122717626886001,19.0,gilbert_meta_2,provider_balanced,1.0,3987.0
16,-0.20878824301162968,12.0,gilbert_meta_2,provider_balanced,1.0,3987.0
17,-0.20840819175714287,11.0,gilbert_meta_2,provider_balanced,1.0,3987.0
18,0.3826854171462588,7.0,gilbert_meta_2,provider_balanced,1.0,3987.0
19,-1.4365149533455315,16.0,gilbert_meta_2,provider_balanced,1.0,3987.0
20,5.110607565635488,1.0,gilbert_meta_2,provider_balanced,1.0,3987.0
1,-4.05519946168012,19.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
2,3.777031809362906,1.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
3,0.8087910131146697,6.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
4,-0.24723047611669124,11.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
5,-0.3020121993293813,12.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
6,1.4749963713544292,5.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
7,-1.2924986454022074,17.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
8,-4.013071229040484,18.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
9,3.421067774920437,4.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
10,-0.6322978960139358,14.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
11,0.19649670083250953,9.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
12,-0.8143257993267775,15.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
13,-0.24443104816988712,10.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
14,3.5242530641548306,3.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
15,-4.404185964276548,20.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
16,0.5783307205303694,7.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
17,-0.5556589706171448,13.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
18,0.2386766301663035,8.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
19,-1.228519693575035,16.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
20,3.7697872991117705,2.0,gilbert_meta_2,without_gemini-3-flash-preview,1.0,4174.0
1,-4.866785728826193,19.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
2,4.615482494506829,2.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
3,0.483848686999896,7.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
4,-0.2641194740751372,11.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
5,-0.8264611940572505,15.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
6,2.3930280484124866,5.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
7,-1.5831701561868001,16.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
8,-5.096867645397705,20.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
9,3.899195543679153,4.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
10,-0.3245296235012699,12.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
11,0.0005725740542005779,9.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
12,-0.7461798910006351,13.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
13,0.2242288733102899,8.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
14,4.3585790220892076,3.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
15,-4.847241458881569,18.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
16,-0.2283416783746211,10.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
17,-0.811076641861836,14.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
18,0.5223861458688948,6.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
19,-1.7588180952785102,17.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
20,4.856270198520554,1.0,gilbert_meta_2,without_gemini-3.1-pro-preview,1.0,3445.0
1,-4.663636918393556,18.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
2,4.1184293029967645,2.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
3,0.8926805012354189,6.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
4,-0.5050108470757956,12.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
5,-0.5573568822491779,13.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
6,2.0856022376621977,5.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
7,-1.4695780661220408,16.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
8,-4.680608464753733,19.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
9,3.605081425739947,4.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
10,-0.36915904275619965,11.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
11,0.39953105552448004,8.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
12,-0.6468828668711583,14.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
13,0.33965732878316357,9.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
14,3.971806043186858,3.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
15,-4.688964798570108,20.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
16,-0.12859702207983792,10.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
17,-0.9168264814833921,15.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
18,0.6689028832243769,7.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
19,-1.8614543214366197,17.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
20,4.406384933438389,1.0,gilbert_meta_2,without_gemini-3.7-flash,1.0,3276.0
1,-5.421358898441145,18.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
2,4.329744313395048,3.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
3,0.3244334788245636,8.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
4,-0.3556445007126622,13.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
5,-0.4287882419869182,14.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
6,1.878350644836689,5.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
7,-1.6412047936392684,16.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
8,-5.699301338166384,20.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
9,3.670782191380387,4.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
10,0.04451696591278768,10.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
11,0.43185981934907675,7.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
12,-0.627591082244516,15.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
13,0.43408133061037424,6.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
14,4.640809580640712,2.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
15,-5.446646787266154,19.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
16,-0.223260716184936,12.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
17,-0.2099899982350915,11.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
18,0.3146141410958656,9.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
19,-1.7503452765864436,17.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
20,5.734939167418066,1.0,gilbert_meta_2,without_gpt-5.4,1.0,3621.0
1,-5.653898323119295,19.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
2,4.616714737106259,3.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
3,0.5926643339331026,7.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
4,-0.3254628861308673,13.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
5,-0.42931036417063817,14.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
6,2.0979037372480738,5.0,gilbert_meta_2,without_gpt-5.4-mini,1.0,3445.0
