item,section_prompt,item_text,combined_text
20,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” “Genealogists and our descendants” © READS Lab
1
Some people want to know more about their ancestors. They want to know about their relatives who lived a long time ago. Often there are no living family members who know about those relatives. So sometimes they hire a genealogist.
2
A genealogist finds clues that help you to learn about your ancestors. You can learn about where your ancestors came from. You can learn about your ancestors' jobs. You can learn about what they looked like. Sometimes you can learn stories about them.
3
Some people want to prove that an ancestor was in an important event like a war. Some people want to know if they are a descendant of a famous person.
4
Other people just want to know their family lineage. Knowing about their ancestors can help them to understand themselves better.
5
Sometimes the genealogist finds clues using the computer. Sometimes she uses a library. She might talk to individuals in other countries. She might travel to other places to get clues.","What is similar about the work that paleontologists, archaeologists, and genealogists do?","Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” “Genealogists and our descendants” © READS Lab
1
Some people want to know more about their ancestors. They want to know about their relatives who lived a long time ago. Often there are no living family members who know about those relatives. So sometimes they hire a genealogist.
2
A genealogist finds clues that help you to learn about your ancestors. You can learn about where your ancestors came from. You can learn about your ancestors' jobs. You can learn about what they looked like. Sometimes you can learn stories about them.
3
Some people want to prove that an ancestor was in an important event like a war. Some people want to know if they are a descendant of a famous person.
4
Other people just want to know their family lineage. Knowing about their ancestors can help them to understand themselves better.
5
Sometimes the genealogist finds clues using the computer. Sometimes she uses a library. She might talk to individuals in other countries. She might travel to other places to get clues.: What is similar about the work that paleontologists, archaeologists, and genealogists do?
They learn about ancestors’ jobs
They learn about things from the past
They learn about living things"
15,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” “Genealogists and our descendants” © READS Lab
1
Some people want to know more about their ancestors. They want to know about their relatives who lived a long time ago. Often there are no living family members who know about those relatives. So sometimes they hire a genealogist.
2
A genealogist finds clues that help you to learn about your ancestors. You can learn about where your ancestors came from. You can learn about your ancestors' jobs. You can learn about what they looked like. Sometimes you can learn stories about them.
3
Some people want to prove that an ancestor was in an important event like a war. Some people want to know if they are a descendant of a famous person.
4
Other people just want to know their family lineage. Knowing about their ancestors can help them to understand themselves better.
5
Sometimes the genealogist finds clues using the computer. Sometimes she uses a library. She might talk to individuals in other countries. She might travel to other places to get clues.","According to the passage, who uses clues to find out about ancestors?","Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” “Genealogists and our descendants” © READS Lab
1
Some people want to know more about their ancestors. They want to know about their relatives who lived a long time ago. Often there are no living family members who know about those relatives. So sometimes they hire a genealogist.
2
A genealogist finds clues that help you to learn about your ancestors. You can learn about where your ancestors came from. You can learn about your ancestors' jobs. You can learn about what they looked like. Sometimes you can learn stories about them.
3
Some people want to prove that an ancestor was in an important event like a war. Some people want to know if they are a descendant of a famous person.
4
Other people just want to know their family lineage. Knowing about their ancestors can help them to understand themselves better.
5
Sometimes the genealogist finds clues using the computer. Sometimes she uses a library. She might talk to individuals in other countries. She might travel to other places to get clues.: According to the passage, who uses clues to find out about ancestors?
famous people
genealogists
detectives"
19,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” “Genealogists and our descendants” © READS Lab
1
Some people want to know more about their ancestors. They want to know about their relatives who lived a long time ago. Often there are no living family members who know about those relatives. So sometimes they hire a genealogist.
2
A genealogist finds clues that help you to learn about your ancestors. You can learn about where your ancestors came from. You can learn about your ancestors' jobs. You can learn about what they looked like. Sometimes you can learn stories about them.
3
Some people want to prove that an ancestor was in an important event like a war. Some people want to know if they are a descendant of a famous person.
4
Other people just want to know their family lineage. Knowing about their ancestors can help them to understand themselves better.
5
Sometimes the genealogist finds clues using the computer. Sometimes she uses a library. She might talk to individuals in other countries. She might travel to other places to get clues.",What is one reason people want to find ancestors?,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” “Genealogists and our descendants” © READS Lab
1
Some people want to know more about their ancestors. They want to know about their relatives who lived a long time ago. Often there are no living family members who know about those relatives. So sometimes they hire a genealogist.
2
A genealogist finds clues that help you to learn about your ancestors. You can learn about where your ancestors came from. You can learn about your ancestors' jobs. You can learn about what they looked like. Sometimes you can learn stories about them.
3
Some people want to prove that an ancestor was in an important event like a war. Some people want to know if they are a descendant of a famous person.
4
Other people just want to know their family lineage. Knowing about their ancestors can help them to understand themselves better.
5
Sometimes the genealogist finds clues using the computer. Sometimes she uses a library. She might talk to individuals in other countries. She might travel to other places to get clues.: What is one reason people want to find ancestors?
To prove their relative was an important person
To become famous like their ancestors
To use the computer to find out facts"
18,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” “Genealogists and our descendants” © READS Lab
1
Some people want to know more about their ancestors. They want to know about their relatives who lived a long time ago. Often there are no living family members who know about those relatives. So sometimes they hire a genealogist.
2
A genealogist finds clues that help you to learn about your ancestors. You can learn about where your ancestors came from. You can learn about your ancestors' jobs. You can learn about what they looked like. Sometimes you can learn stories about them.
3
Some people want to prove that an ancestor was in an important event like a war. Some people want to know if they are a descendant of a famous person.
4
Other people just want to know their family lineage. Knowing about their ancestors can help them to understand themselves better.
5
Sometimes the genealogist finds clues using the computer. Sometimes she uses a library. She might talk to individuals in other countries. She might travel to other places to get clues.",Why does the author think genealogists are important?,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” “Genealogists and our descendants” © READS Lab
1
Some people want to know more about their ancestors. They want to know about their relatives who lived a long time ago. Often there are no living family members who know about those relatives. So sometimes they hire a genealogist.
2
A genealogist finds clues that help you to learn about your ancestors. You can learn about where your ancestors came from. You can learn about your ancestors' jobs. You can learn about what they looked like. Sometimes you can learn stories about them.
3
Some people want to prove that an ancestor was in an important event like a war. Some people want to know if they are a descendant of a famous person.
4
Other people just want to know their family lineage. Knowing about their ancestors can help them to understand themselves better.
5
Sometimes the genealogist finds clues using the computer. Sometimes she uses a library. She might talk to individuals in other countries. She might travel to other places to get clues.: Why does the author think genealogists are important?
They are able to help famous people plan their jobs
They talk to people in other countries and cities
They help people find relatives from a long time ago"
10,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” Archaeologists and the city of Pompei” © READS Lab
1
Nearly 2,000 years ago, a volcano eruption destroyed an old city. It was called Pompei. The eruption of a mountain was brutal. It lasted for more than 24 hours. By the end, Pompei was covered in ashes. Many people died. The city was totally destroyed. It was like a mass extinction.
2
But archaeologists discovered Pompei again in 1748. They found fossilized humans—not dinosaur fossils but human fossils. A team of archaeologists found fossilized buildings and human and animal skeletons.
3
Pompei is like a city frozen in time. But scientists are not studying the fossilized bones of dinosaurs. Instead, they are studying the buildings and other artifacts from Pompei. They also want to know what people were like.
4
One theory about Pompei is that there were rich and poor people. Archaeologists have found fossilized big homes and small homes.
5
Yes, Pompei was fossilized. So archaeologists have clues about life in Pompei. Even the kinds of people who lived there.","In paragraph 4, theory can also be called:","Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” Archaeologists and the city of Pompei” © READS Lab
1
Nearly 2,000 years ago, a volcano eruption destroyed an old city. It was called Pompei. The eruption of a mountain was brutal. It lasted for more than 24 hours. By the end, Pompei was covered in ashes. Many people died. The city was totally destroyed. It was like a mass extinction.
2
But archaeologists discovered Pompei again in 1748. They found fossilized humans—not dinosaur fossils but human fossils. A team of archaeologists found fossilized buildings and human and animal skeletons.
3
Pompei is like a city frozen in time. But scientists are not studying the fossilized bones of dinosaurs. Instead, they are studying the buildings and other artifacts from Pompei. They also want to know what people were like.
4
One theory about Pompei is that there were rich and poor people. Archaeologists have found fossilized big homes and small homes.
5
Yes, Pompei was fossilized. So archaeologists have clues about life in Pompei. Even the kinds of people who lived there.: In paragraph 4, theory can also be called:
An answer
An idea
A solution"
16,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” “Genealogists and our descendants” © READS Lab
1
Some people want to know more about their ancestors. They want to know about their relatives who lived a long time ago. Often there are no living family members who know about those relatives. So sometimes they hire a genealogist.
2
A genealogist finds clues that help you to learn about your ancestors. You can learn about where your ancestors came from. You can learn about your ancestors' jobs. You can learn about what they looked like. Sometimes you can learn stories about them.
3
Some people want to prove that an ancestor was in an important event like a war. Some people want to know if they are a descendant of a famous person.
4
Other people just want to know their family lineage. Knowing about their ancestors can help them to understand themselves better.
5
Sometimes the genealogist finds clues using the computer. Sometimes she uses a library. She might talk to individuals in other countries. She might travel to other places to get clues.",What is this passage mainly about?,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” “Genealogists and our descendants” © READS Lab
1
Some people want to know more about their ancestors. They want to know about their relatives who lived a long time ago. Often there are no living family members who know about those relatives. So sometimes they hire a genealogist.
2
A genealogist finds clues that help you to learn about your ancestors. You can learn about where your ancestors came from. You can learn about your ancestors' jobs. You can learn about what they looked like. Sometimes you can learn stories about them.
3
Some people want to prove that an ancestor was in an important event like a war. Some people want to know if they are a descendant of a famous person.
4
Other people just want to know their family lineage. Knowing about their ancestors can help them to understand themselves better.
5
Sometimes the genealogist finds clues using the computer. Sometimes she uses a library. She might talk to individuals in other countries. She might travel to other places to get clues.: What is this passage mainly about?
Why genealogists use the computer
Where ancestors come from
What genealogists do"
9,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” Archaeologists and the city of Pompei” © READS Lab
1
Nearly 2,000 years ago, a volcano eruption destroyed an old city. It was called Pompei. The eruption of a mountain was brutal. It lasted for more than 24 hours. By the end, Pompei was covered in ashes. Many people died. The city was totally destroyed. It was like a mass extinction.
2
But archaeologists discovered Pompei again in 1748. They found fossilized humans—not dinosaur fossils but human fossils. A team of archaeologists found fossilized buildings and human and animal skeletons.
3
Pompei is like a city frozen in time. But scientists are not studying the fossilized bones of dinosaurs. Instead, they are studying the buildings and other artifacts from Pompei. They also want to know what people were like.
4
One theory about Pompei is that there were rich and poor people. Archaeologists have found fossilized big homes and small homes.
5
Yes, Pompei was fossilized. So archaeologists have clues about life in Pompei. Even the kinds of people who lived there.",This passage mainly tells about,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” Archaeologists and the city of Pompei” © READS Lab
1
Nearly 2,000 years ago, a volcano eruption destroyed an old city. It was called Pompei. The eruption of a mountain was brutal. It lasted for more than 24 hours. By the end, Pompei was covered in ashes. Many people died. The city was totally destroyed. It was like a mass extinction.
2
But archaeologists discovered Pompei again in 1748. They found fossilized humans—not dinosaur fossils but human fossils. A team of archaeologists found fossilized buildings and human and animal skeletons.
3
Pompei is like a city frozen in time. But scientists are not studying the fossilized bones of dinosaurs. Instead, they are studying the buildings and other artifacts from Pompei. They also want to know what people were like.
4
One theory about Pompei is that there were rich and poor people. Archaeologists have found fossilized big homes and small homes.
5
Yes, Pompei was fossilized. So archaeologists have clues about life in Pompei. Even the kinds of people who lived there.: This passage mainly tells about
how archaeologists study the old city of Pompei
how a volcano destroyed a city called Pompei
what an archaeologist’s job is like"
11,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” Archaeologists and the city of Pompei” © READS Lab
1
Nearly 2,000 years ago, a volcano eruption destroyed an old city. It was called Pompei. The eruption of a mountain was brutal. It lasted for more than 24 hours. By the end, Pompei was covered in ashes. Many people died. The city was totally destroyed. It was like a mass extinction.
2
But archaeologists discovered Pompei again in 1748. They found fossilized humans—not dinosaur fossils but human fossils. A team of archaeologists found fossilized buildings and human and animal skeletons.
3
Pompei is like a city frozen in time. But scientists are not studying the fossilized bones of dinosaurs. Instead, they are studying the buildings and other artifacts from Pompei. They also want to know what people were like.
4
One theory about Pompei is that there were rich and poor people. Archaeologists have found fossilized big homes and small homes.
5
Yes, Pompei was fossilized. So archaeologists have clues about life in Pompei. Even the kinds of people who lived there.",Archaeologists have studied the fossilized buildings and skeletons of Pompei. Fossilized means:,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” Archaeologists and the city of Pompei” © READS Lab
1
Nearly 2,000 years ago, a volcano eruption destroyed an old city. It was called Pompei. The eruption of a mountain was brutal. It lasted for more than 24 hours. By the end, Pompei was covered in ashes. Many people died. The city was totally destroyed. It was like a mass extinction.
2
But archaeologists discovered Pompei again in 1748. They found fossilized humans—not dinosaur fossils but human fossils. A team of archaeologists found fossilized buildings and human and animal skeletons.
3
Pompei is like a city frozen in time. But scientists are not studying the fossilized bones of dinosaurs. Instead, they are studying the buildings and other artifacts from Pompei. They also want to know what people were like.
4
One theory about Pompei is that there were rich and poor people. Archaeologists have found fossilized big homes and small homes.
5
Yes, Pompei was fossilized. So archaeologists have clues about life in Pompei. Even the kinds of people who lived there.: Archaeologists have studied the fossilized buildings and skeletons of Pompei. Fossilized means:
Saved as it was years ago
Physical characteristics
New thing to help scientists"
2,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” “Paleontologists and the ammonites” © READS Lab
1
There have been five mass extinctions in the earth’s history. What happened during the fifth mass extinction nearly 66 million years ago? What species was gone forever? Dinosaurs. What about fish in the oceans?
2
Paleontologists found a body fossil of a shellfish that became extinct long ago. The shellfish is called an ammonite. Ammonites were predators that lived in the ocean. They were related to other ocean predators like the octopus.
3
Ammonites survived for a long time. They had a strong shell that protected them from large fish. They were also good hunters.
4
But there are no more ammonites living today. What happened? Paleontologists have used fossil evidence to understand what happened in the past. Even 66 million years ago. One theory is that a huge rock from outer space killed many plants and animals. Another theory is that ammonites had trouble finding food before the huge rock hit the earth.
5
Body fossils help paleontologists understand what happened to living things in the past. Even when no one was around to see the animals.",This passage mainly tells about,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” “Paleontologists and the ammonites” © READS Lab
1
There have been five mass extinctions in the earth’s history. What happened during the fifth mass extinction nearly 66 million years ago? What species was gone forever? Dinosaurs. What about fish in the oceans?
2
Paleontologists found a body fossil of a shellfish that became extinct long ago. The shellfish is called an ammonite. Ammonites were predators that lived in the ocean. They were related to other ocean predators like the octopus.
3
Ammonites survived for a long time. They had a strong shell that protected them from large fish. They were also good hunters.
4
But there are no more ammonites living today. What happened? Paleontologists have used fossil evidence to understand what happened in the past. Even 66 million years ago. One theory is that a huge rock from outer space killed many plants and animals. Another theory is that ammonites had trouble finding food before the huge rock hit the earth.
5
Body fossils help paleontologists understand what happened to living things in the past. Even when no one was around to see the animals.: This passage mainly tells about
the physical characteristics of ammonites
the dinosaur extinction 66 million years ago
the theories of the ammonite’s extinction"
5,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” “Paleontologists and the ammonites” © READS Lab
1
There have been five mass extinctions in the earth’s history. What happened during the fifth mass extinction nearly 66 million years ago? What species was gone forever? Dinosaurs. What about fish in the oceans?
2
Paleontologists found a body fossil of a shellfish that became extinct long ago. The shellfish is called an ammonite. Ammonites were predators that lived in the ocean. They were related to other ocean predators like the octopus.
3
Ammonites survived for a long time. They had a strong shell that protected them from large fish. They were also good hunters.
4
But there are no more ammonites living today. What happened? Paleontologists have used fossil evidence to understand what happened in the past. Even 66 million years ago. One theory is that a huge rock from outer space killed many plants and animals. Another theory is that ammonites had trouble finding food before the huge rock hit the earth.
5
Body fossils help paleontologists understand what happened to living things in the past. Even when no one was around to see the animals.",A strong shell is an example of a living animal’s,"Teacher Directions to Read Aloud: “Now you will read the passage silently by yourself and then answer the questions. There are 3 answer choices for each question but only one correct answer. Circle the answer that you think is correct. After question 7, stop and wait for your teacher to read the directions. You may begin.” “Paleontologists and the ammonites” © READS Lab
1
There have been five mass extinctions in the earth’s history. What happened during the fifth mass extinction nearly 66 million years ago? What species was gone forever? Dinosaurs. What about fish in the oceans?
2
Paleontologists found a body fossil of a shellfish that became extinct long ago. The shellfish is called an ammonite. Ammonites were predators that lived in the ocean. They were related to other ocean predators like the octopus.
3
Ammonites survived for a long time. They had a strong shell that protected them from large fish. They were also good hunters.
4
But there are no more ammonites living today. What happened? Paleontologists have used fossil evidence to understand what happened in the past. Even 66 million years ago. One theory is that a huge rock from outer space killed many plants and animals. Another theory is that ammonites had trouble finding food before the huge rock hit the earth.
5
Body fossils help paleontologists understand what happened to living things in the past. Even when no one was around to see the animals.: A strong shell is an example of a living animal’s
Hunter behavior
Fossil evidence
Physical characteristic"
